SNo,Region,Region_Indx,Province/ Territory,Name
1,Western Canada,,Alberta,Airdrie
2,Western Canada,,Alberta,Brooks
3,Western Canada,,Alberta,Calgary
4,Western Canada,,Alberta,Camrose
5,Western Canada,,Alberta,Chestermere
6,Western Canada,,Alberta,Cold Lake
7,Western Canada,,Alberta,Edmonton
8,Western Canada,,Alberta,Fort Saskatchewan
9,Western Canada,,Alberta,Grande Prairie
10,Western Canada,,Alberta,Lacombe
11,Western Canada,,Alberta,Leduc
12,Western Canada,,Alberta,Lethbridge
13,Western Canada,,Alberta,Lloydminster (part)
14,Western Canada,,Alberta,Medicine Hat
15,Western Canada,,Alberta,Red Deer
16,Western Canada,,Alberta,Spruce Grove
17,Western Canada,,Alberta,St. Albert
18,Western Canada,,Alberta,Wetaskiwin
19,Western Canada,,British Columbia,Abbotsford
20,Western Canada,,British Columbia,Armstrong
21,Western Canada,,British Columbia,Burnaby
22,Western Canada,,British Columbia,Campbell River
23,Western Canada,,British Columbia,Castlegar
24,Western Canada,,British Columbia,Chilliwack
25,Western Canada,,British Columbia,Colwood
26,Western Canada,,British Columbia,Coquitlam
27,Western Canada,,British Columbia,Courtenay
28,Western Canada,,British Columbia,Cranbrook
29,Western Canada,,British Columbia,Dawson Creek
30,Western Canada,,British Columbia,Duncan
31,Western Canada,,British Columbia,Enderby
32,Western Canada,,British Columbia,Fernie
33,Western Canada,,British Columbia,Fort St. John
34,Western Canada,,British Columbia,Grand Forks
35,Western Canada,,British Columbia,Greenwood
36,Western Canada,,British Columbia,Kamloops
37,Western Canada,,British Columbia,Kelowna
38,Western Canada,,British Columbia,Kimberley
39,Western Canada,,British Columbia,Langford
40,Western Canada,,British Columbia,Langley
41,Western Canada,,British Columbia,Maple Ridge
42,Western Canada,,British Columbia,Merritt
43,Western Canada,,British Columbia,Nanaimo
44,Western Canada,,British Columbia,Nelson
45,Western Canada,,British Columbia,New Westminster
46,Western Canada,,British Columbia,North Vancouver
47,Western Canada,,British Columbia,Parksville
48,Western Canada,,British Columbia,Penticton
49,Western Canada,,British Columbia,Pitt Meadows
50,Western Canada,,British Columbia,Port Alberni
51,Western Canada,,British Columbia,Port Coquitlam
52,Western Canada,,British Columbia,Port Moody
53,Western Canada,,British Columbia,Powell River
54,Western Canada,,British Columbia,Prince George
55,Western Canada,,British Columbia,Prince Rupert
56,Western Canada,,British Columbia,Quesnel
57,Western Canada,,British Columbia,Revelstoke
58,Western Canada,,British Columbia,Richmond
59,Western Canada,,British Columbia,Rossland
60,Western Canada,,British Columbia,Salmon Arm
61,Western Canada,,British Columbia,Surrey
62,Western Canada,,British Columbia,Terrace
63,Western Canada,,British Columbia,Trail
64,Western Canada,,British Columbia,Vancouver
65,Western Canada,,British Columbia,Vernon
66,Western Canada,,British Columbia,Victoria
67,Western Canada,,British Columbia,White Rock
68,Western Canada,,British Columbia,Williams Lake
69,Western Canada,,Manitoba,Brandon
70,Western Canada,,Manitoba,Dauphin
71,Western Canada,,Manitoba,Flin Flon (part)
72,Western Canada,,Manitoba,Morden
73,Western Canada,,Manitoba,Portage la Prairie
74,Western Canada,,Manitoba,Selkirk
75,Western Canada,,Manitoba,Steinbach
76,Western Canada,,Manitoba,Thompson
77,Western Canada,,Manitoba,Winkler
78,Western Canada,,Manitoba,Winnipeg
79,Atlantic Canada,,New Brunswick,Bathurst
80,Atlantic Canada,,New Brunswick,Campbellton
81,Atlantic Canada,,New Brunswick,Dieppe
82,Atlantic Canada,,New Brunswick,Edmundston
83,Atlantic Canada,,New Brunswick,Fredericton
84,Atlantic Canada,,New Brunswick,Miramichi
85,Atlantic Canada,,New Brunswick,Moncton
86,Atlantic Canada,,New Brunswick,Saint John
87,Atlantic Canada,,Newfoundland and Labrador,Corner Brook
88,Atlantic Canada,,Newfoundland and Labrador,Mount Pearl
89,Atlantic Canada,,Newfoundland and Labrador,St. John's
90,Northern Canada,,Northwest Territories,Yellowknife
91,Northern Canada,,Nunavut,Iqaluit
92,Central Canada,,Ontario,Barrie
93,Central Canada,,Ontario,Belleville
94,Central Canada,,Ontario,Brampton
95,Central Canada,,Ontario,Brant
96,Central Canada,,Ontario,Brantford
97,Central Canada,,Ontario,Brockville
98,Central Canada,,Ontario,Burlington
99,Central Canada,,Ontario,Cambridge
100,Central Canada,,Ontario,Clarence-Rockland
101,Central Canada,,Ontario,Cornwall
102,Central Canada,,Ontario,Dryden
103,Central Canada,,Ontario,Elliot Lake
104,Central Canada,,Ontario,Greater Sudbury
105,Central Canada,,Ontario,Guelph
106,Central Canada,,Ontario,Haldimand County
107,Central Canada,,Ontario,Hamilton
108,Central Canada,,Ontario,Kawartha Lakes
109,Central Canada,,Ontario,Kenora
110,Central Canada,,Ontario,Kingston
111,Central Canada,,Ontario,Kitchener
112,Central Canada,,Ontario,London
113,Central Canada,,Ontario,Markham
114,Central Canada,,Ontario,Mississauga
115,Central Canada,,Ontario,Niagara Falls
116,Central Canada,,Ontario,Norfolk County
117,Central Canada,,Ontario,North Bay
118,Central Canada,,Ontario,Orillia
119,Central Canada,,Ontario,Oshawa
120,Central Canada,,Ontario,Ottawa
121,Central Canada,,Ontario,Owen Sound
122,Central Canada,,Ontario,Pembroke
123,Central Canada,,Ontario,Peterborough
124,Central Canada,,Ontario,Pickering
125,Central Canada,,Ontario,Port Colborne
126,Central Canada,,Ontario,Prince Edward County
127,Central Canada,,Ontario,Quinte West
128,Central Canada,,Ontario,Sarnia
129,Central Canada,,Ontario,Sault Ste. Marie
130,Central Canada,,Ontario,St. Catharines
131,Central Canada,,Ontario,St. Thomas
